ID,Name (EN) ,Name (AR) ,Barcode,Packing,PPT,Origin,Category,Variant,Country
78, PASTA SAUCE - OLIVES MUSHROOMS ,صلصة المكرونة بالزيتون والفطر ,617950600503,12 X 320 GM,5.53, KINGDOM OF SAUDI ARABIA ,SAUCES,PASTA SAUCE ,UNITED ARAB EMIRATES
79, PASTA SAUCE  ,صلصة المكرونة,617950600244,12 X 320 GM,4.54,,SAUCES,PASTA SAUCE ,UNITED ARAB EMIRATES
80, PASTA SAUCE  ,صلصة المكرونة,617950600206,12 X 640 GM,8.33, KINGDOM OF SAUDI ARABIA ,SAUCES,PASTA SAUCE ,UNITED ARAB EMIRATES
81, TOMATO PASTE  130 GM  ,معجون الطماطم 130 جم,617950600701,6 X 8 X 130 GM,1.52, KINGDOM OF SAUDI ARABIA ,TOMATO PASTE,TOMATO PASTE  ,UNITED ARAB EMIRATES
82, TOMATO PASTE  220 GM ,معجون الطماطم 220 جم,617950600336,6 X 6 X 220 GM,14.60, KINGDOM OF SAUDI ARABIA ,TOMATO PASTE,TOMATO PASTE  ,UNITED ARAB EMIRATES
83, VINEGAR - NATURAL ,خل طبيعي  من قصب السكر,617950154532,12 X 473 ML,3.28, KINGDOM OF SAUDI ARABIA ,VINEGAR,VINEGAR,UNITED ARAB EMIRATES
84, VINEGAR - NATURAL ,خل طبيعي  من قصب السكر,617950154556,4 X 4 LT,12.34, KINGDOM OF SAUDI ARABIA ,VINEGAR,VINEGAR,UNITED ARAB EMIRATES
85, WHOLE KERNEL CORN ,ذرة حب حلوة,617950706328,24 X 200 GM,3.25,,CORN,CORN,UNITED ARAB EMIRATES
86, WHOLE KERNEL CORN ,ذرة حب حلوة,617950701460,24 X 425 GM,4.33, THAILAND ,CORN,CORN,UNITED ARAB EMIRATES
87, VACUUM PACKED CORN ,فراغ الذرة معبأة,617950703341,24 X 340 GM,4.38, THAILAND ,CORN,CORN,UNITED ARAB EMIRATES
88, BABY CORN COBS ,ذرة صغيرة أكواز,617950701392,24 X 410 GM,4.38, THAILAND ,CORN,CORN,UNITED ARAB EMIRATES
89, CREAM STYLE CORN  ,ذرة حلوة مهروسة وكثيفة,617950701552,24 X 425 GM ,4.33, THAILAND ,CORN,CORN,UNITED ARAB EMIRATES
90, MEXICAN STYLE CORN  ,ذرة على الطريقة المكسيكية,617950701514,24 X 340 GM,4.71, THAILAND ,CORN,CORN,UNITED ARAB EMIRATES
91, PEAS & CARROTS ,بزالية مع جزر,617950701446,12 X 400 GM,3.63, FRANCE ,VEGETABLE,VEGETABLE,UNITED ARAB EMIRATES
92, GARDEN PEAS ,بزالية الحدائق,617950701422,12 X 400 GM,3.63, FRANCE ,VEGETABLE,VEGETABLE,UNITED ARAB EMIRATES
93, MIXED VEGETABLES ,خضار مشكلة,617950701439,12 X 400 GM,3.63, FRANCE ,VEGETABLE,VEGETABLE,UNITED ARAB EMIRATES
94, CUT GREEN BEANS ,فاصوليا خضراء مقطعة,617950701415,12 X 400 GM,3.63, FRANCE ,VEGETABLE,VEGETABLE,UNITED ARAB EMIRATES
95, DICED BEETS  , بنجر (شمندر) مكعبات,617950701453,12 X 400 GM,3.63, FRANCE ,VEGETABLE,VEGETABLE,UNITED ARAB EMIRATES
96, FRUIT COCKTAIL  ,فاكهة مشكلة,617950804246,24 X 227 GM,3.98, SPAIN ,FRUITS,FRUIT COCKTAIL ,UNITED ARAB EMIRATES
97, FRUIT COCKTAIL  ,فاكهة مشكلة,617950804536,24 X 420 GM,5.38, SPAIN ,FRUITS,FRUIT COCKTAIL ,UNITED ARAB EMIRATES
98, FRUIT COCKTAIL ,فاكهة مشكلة,617950804857,24 X 825 GM,8.01, SPAIN ,FRUITS,FRUIT COCKTAIL ,UNITED ARAB EMIRATES
99, CHOICE PINEAPPLE SLICES ,أناناس شرائح فاخر,617950803232,24 X 234 GM,2.82, THAILAND ,FRUITS,PINEAPPLE ,UNITED ARAB EMIRATES
100, CHOICE PINEAPPLE SLICES ,أناناس شرائح فاخر,617950803560,24 X 567 GM,4.81, THAILAND ,FRUITS,PINEAPPLE ,UNITED ARAB EMIRATES
101, PINEAPPLE SLICES - STANDARD   ,أناناس شرائح,617950803720, 24 X 234 GM  ,2.42, THAILAND ,FRUITS,PINEAPPLE ,UNITED ARAB EMIRATES
102, PINEAPPLE SLICES - STANDARD   ,أناناس شرائح,617950803652, 24 X 567 GM ,4.25, THAILAND ,FRUITS,PINEAPPLE ,UNITED ARAB EMIRATES
103, MUSHROOM PIECES & STEMS ,فطر مقطع,617950700371,24 X 400 GM,5.47, INDONESIA ,MUSHROOM, PIECES & STEMS,UNITED ARAB EMIRATES
104, MUSHROOM PIECES & STEMS ,فطر مقطع,617950701194,24 X 200 GM,3.33, INDONESIA ,MUSHROOM, PIECES & STEMS,UNITED ARAB EMIRATES
105, MUSHROOM WHOLE ,فطر كامل,617950701378,24 X 400 GM,6.61, INDONESIA ,MUSHROOM,WHOLE,UNITED ARAB EMIRATES
106, MUSHROOM WHOLE ,فطر كامل,617950700197,24 X 200 GM,3.76, INDONESIA ,MUSHROOM,WHOLE,UNITED ARAB EMIRATES
107, SYRUP -  CHOCOLATE  ,شراب الشوكولاتة,617950205593,12 X 680 GM,, USA ,SYRUP,SYRUP,UNITED ARAB EMIRATES
108, SYRUP - STRAWBERRY ,شراب الفراولة,617950205531,12 X 624 GM,, USA ,SYRUP,SYRUP,UNITED ARAB EMIRATES
109, FREEKEH COARSE  ,فريكة خضراء خشنة,617950303176,12 X 450 GM,, PALESTINE ,FREEKEH,FREEKEH,UNITED ARAB EMIRATES
110, FREEKEH WHOLE ,فريكة  خضراء كاملة,617950303190,12 X 450 GM,, PALESTINE ,FREEKEH,FREEKEH,UNITED ARAB EMIRATES
111, SPAGHETTI #2 ,إسباغيتي #2,617950300274,20 X 400 GM,3.86, ITALY ,PASTA,SPAGHETTI ,UNITED ARAB EMIRATES
112, SPAGHETTI # 3 ,إسباغيتي #3,617950300212,20 X 400 GM,3.86, ITALY ,PASTA,SPAGHETTI ,UNITED ARAB EMIRATES
113, SPAGHETTI #5 - 400GM ,إسباغيتي#5 - 400 جم,617950300052,20 X 400 GM,3.86, ITALY ,PASTA,SPAGHETTI ,UNITED ARAB EMIRATES
114, SPAGHETTI #5 - 800GM ,إسباغيتي#5 - 800 جم,617950300205,12 X 800 GM,6.95, ITALY ,PASTA,SPAGHETTI ,UNITED ARAB EMIRATES
115, SPAGHETTI # 7 ,إسباغيتي #7,617950300236,20 X 400 GM,3.86, ITALY ,PASTA,SPAGHETTI ,UNITED ARAB EMIRATES
116, SPAGHETTI #33 ,إسباغيتي #33,617950300298,20 X 400 GM,3.86, ITALY ,PASTA,SPAGHETTI ,UNITED ARAB EMIRATES
117, VERMICELLI #125 (NEST.) ,الشعيرية # 125,617950302155,20 X 250 GM,3.23, ITALY ,PASTA,MACARONI ,UNITED ARAB EMIRATES
118, MACARONI # 1 - 450GM ,مكرونة #1-450 جم,617950300014, 20 X 450 G ,4.20, ITALY ,PASTA,MACARONI ,UNITED ARAB EMIRATES
119, MACARONI # 1 - 900GM ,مكرونة #1-900 جم,617950300038,12 X 900 GM,7.55, ITALY ,PASTA,MACARONI ,UNITED ARAB EMIRATES
120, MACARONI # 2 - (SMALL ELBOW) ,مكرونة #2- الكوع الصغير,617950300021, 20 X 450 G ,4.20, ITALY ,PASTA,MACARONI ,UNITED ARAB EMIRATES
121, MACARONI # 9 ,مكرونة # 9,617950300090, 20 X 450 G ,4.20, ITALY ,PASTA,MACARONI ,UNITED ARAB EMIRATES
122, MACARONI # 10 ,مكرونة # 10,617950300106, 20 X 450 G ,4.20, ITALY ,PASTA,MACARONI ,UNITED ARAB EMIRATES
